"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"PRECIOS  PROMEDIO A CONSUMIDOR FINAL EN CIUDAD CAPITAL","","","","","","","","","",""
"","","","","","","","","","",""
"FECHA","Tipo de Cambio","Superior","Regular","Diesel","Bunker","Glp Cilindro 25Lbs.","","","",""
"","GTQ/USD","GTQ/GALON","GTQ/GALON","GTQ/GALON","GTQ/GALON","GTQ/CIL 25 LB","GTQ/LB","","",""
"01/Jan/2022","7.71912","  28.69 ","  27.91 ","  24.51 ","  17.28 ","  122.00 ","  4.88 ","","",""
"02/Jan/2022","7.71912","  28.69 ","  27.91 ","  24.51 ","  17.28 ","  122.00 ","  4.88 ","","",""
"03/Jan/2022","7.71912","  28.79 ","  27.99 ","  24.60 ","  17.91 ","  122.00 ","  4.88 ","","",""
"04/Jan/2022","7.71745","  28.79 ","  27.99 ","  24.60 ","  17.91 ","  122.00 ","  4.88 ","","",""
"05/Jan/2022","7.71558","  28.79 ","  27.99 ","  24.60 ","  17.91 ","  122.00 ","  4.88 ","","",""
"06/Jan/2022","7.71823","  28.79 ","  27.99 ","  24.60 ","  17.91 ","  122.00 ","  4.88 ","","",""
"07/Jan/2022","7.71343","  28.79 ","  27.99 ","  24.60 ","  17.91 ","  122.00 ","  4.88 ","","",""
"08/Jan/2022","7.71343","  28.79 ","  27.99 ","  24.60 ","  17.91 ","  122.00 ","  4.88 ","","",""
"09/Jan/2022","7.71343","  28.79 ","  27.99 ","  24.60 ","  17.91 ","  122.00 ","  4.88 ","","",""
"10/Jan/2022","7.71101","  29.65 ","  28.85 ","  25.46 ","  18.55 ","  122.00 ","  4.88 ","","",""
"11/Jan/2022","7.70832","  29.65 ","  28.85 ","  25.46 ","  18.55 ","  122.00 ","  4.88 ","","",""
"12/Jan/2022","7.70898","  29.65 ","  28.85 ","  25.46 ","  18.55 ","  122.00 ","  4.88 ","","",""
"13/Jan/2022","7.70620","  29.65 ","  28.85 ","  25.46 ","  18.55 ","  122.00 ","  4.88 ","","",""
"14/Jan/2022","7.70777","  29.65 ","  28.85 ","  25.46 ","  18.55 ","  122.00 ","  4.88 ","","",""
"15/Jan/2022","7.70777","  29.65 ","  28.85 ","  25.46 ","  18.55 ","  122.00 ","  4.88 ","","",""
"16/Jan/2022","7.70777","  29.65 ","  28.85 ","  25.46 ","  18.55 ","  122.00 ","  4.88 ","","",""
"17/Jan/2022","7.70046","  30.49 ","  29.69 ","  26.49 ","  18.97 ","  122.00 ","  4.88 ","","",""
"18/Jan/2022","7.70453","  30.49 ","  29.69 ","  26.49 ","  18.97 ","  122.00 ","  4.88 ","","",""
"19/Jan/2022","7.69958","  30.49 ","  29.69 ","  26.49 ","  18.97 ","  122.00 ","  4.88 ","","",""
"20/Jan/2022","7.69537","  30.49 ","  29.69 ","  26.49 ","  18.97 ","  122.00 ","  4.88 ","","",""
"21/Jan/2022","7.69195","  30.49 ","  29.69 ","  26.49 ","  18.97 ","  122.00 ","  4.88 ","","",""
"22/Jan/2022","7.69195","  30.49 ","  29.69 ","  26.49 ","  18.97 ","  122.00 ","  4.88 ","","",""
