"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"PRECIOS  PROMEDIO A CONSUMIDOR FINAL EN CIUDAD CAPITAL","","","","","","","","","","",""
"","","","","","","","","","","",""
"FECHA","Tipo de Cambio","Superior","Regular","Diesel","Bunker","Glp Cilindro 25Lbs.","","","","",""
"","GTQ/USD","GTQ/GALON","GTQ/GALON","GTQ/GALON","GTQ/GALON","GTQ/CIL 25 LB","GTQ/LB","","","",""
"01/Jan/2023","7.85222","  32.55 ","  30.99 ","  33.75 ","  15.99 ","  122.00 ","  4.88 ","","","",""
"02/Jan/2023","7.85222","  32.55 ","  30.99 ","  33.75 ","  15.99 ","  122.00 ","  4.88 ","","","",""
"03/Jan/2023","7.84773","  32.56 ","  31.42 ","  35.31 ","  16.39 ","  122.00 ","  4.88 ","","","",""
"04/Jan/2023","7.84906","  32.56 ","  31.42 ","  35.31 ","  16.39 ","  122.00 ","  4.88 ","","","",""
"05/Jan/2023","7.85221","  32.56 ","  31.42 ","  35.31 ","  16.39 ","  122.00 ","  4.88 ","","","",""
"06/Jan/2023","7.84856","  32.56 ","  31.42 ","  35.31 ","  16.39 ","  122.00 ","  4.88 ","","","",""
"07/Jan/2023","7.84856","  32.56 ","  31.42 ","  35.31 ","  16.39 ","  122.00 ","  4.88 ","","","",""
"08/Jan/2023","7.84856","  32.56 ","  31.42 ","  35.31 ","  16.39 ","  122.00 ","  4.88 ","","","",""
"09/Jan/2023","7.84628","  33.00 ","  31.60 ","  35.98 ","  16.39 ","  122.00 ","  4.88 ","","","",""
"10/Jan/2023","7.84395","  33.00 ","  31.60 ","  35.98 ","  16.39 ","  122.00 ","  4.88 ","","","",""
"11/Jan/2023","7.84880","  33.00 ","  31.60 ","  35.98 ","  16.39 ","  122.00 ","  4.88 ","","","",""
"12/Jan/2023","7.85000","  33.00 ","  31.60 ","  35.98 ","  16.39 ","  122.00 ","  4.88 ","","","",""
"13/Jan/2023","7.84942","  33.00 ","  31.60 ","  35.98 ","  16.39 ","  122.00 ","  4.88 ","","","",""
"14/Jan/2023","7.84942","  33.00 ","  31.60 ","  35.98 ","  16.39 ","  122.00 ","  4.88 ","","","",""
"15/Jan/2023","7.84942","  33.00 ","  31.60 ","  35.98 ","  16.39 ","  122.00 ","  4.88 ","","","",""
"16/Jan/2023","7.84319","  33.96 ","  32.58 ","  35.96 ","  15.99 ","  122.00 ","  4.88 ","","","",""
"17/Jan/2023","7.84762","  33.96 ","  32.58 ","  35.96 ","  15.99 ","  122.00 ","  4.88 ","","","",""
"18/Jan/2023","7.84834","  33.96 ","  32.58 ","  35.96 ","  15.99 ","  122.00 ","  4.88 ","","","",""
"19/Jan/2023","7.85007","  33.96 ","  32.58 ","  35.96 ","  15.99 ","  122.00 ","  4.88 ","","","",""
"20/Jan/2023","7.85078","  33.96 ","  32.58 ","  35.96 ","  15.99 ","  122.00 ","  4.88 ","","","",""
"21/Jan/2023","7.85078","  33.96 ","  32.58 ","  35.96 ","  15.99 ","  122.00 ","  4.88 ","","","",""
